x,y
Chelsea<br/>(13th),282.75
Manchester City<br/>(4th),263.25
Manchester Utd<br/>(5th),200.25
Arsena<br/>(3rd),183.75
Liverpool<br/>(9th),178.5
Spurs<br/>(2nd),141.38
<b>Leicester</b><br/>(1st),42
